wavelength_nm,alpha_HTL,alpha_PEROVSKITE,alpha_ETL,alpha_FTO,k_HTL,k_PEROVSKITE,k_ETL,k_FTO,n_HTL,n_PEROVSKITE,n_ETL,n_FTO,n_METAL,k_METAL
305.0,92100.0,143000.0,48200.0,40200.0,0.2235370964461443,0.34707714214765073,0.11698684091969767,0.09756993786248644,1.7991488589743594,2.8511564551282063,2.699975243589744,1.977210461538462,0.24684080769230776,5.38182217948718
310.0,90500.0,141000.0,46100.0,37800.0,0.22325459642215623,0.3478331281273373,0.11372416458631382,0.09324888115754147,1.797977025641026,2.8072108717948723,2.697600410256411,1.974354461538462,0.24310030769230773,5.267700512820514
315.0,88800.0,139000.0,43900.0,35300.0,0.22259410340832483,0.3484299591639319,0.11004370652731373,0.0884861694855165,1.7965090213675214,2.76789680982906,2.693092175213676,1.971439384615385,0.2388430897435898,5.157628760683762
320.0,87300.0,138000.0,41700.0,32700.0,0.22230762451075942,0.3514141143469049,0.10618817803091257,0.08326986622567964,1.7947693675213676,2.73294782905983,2.6866672136752148,1.968472615384616,0.23413374358974362,5.051600683760684
325.0,85700.0,136000.0,39500.0,30000.0,0.22164315262335071,0.3517324242330887,0.10215757909711032,0.07758803475729897,1.7927825854700856,2.70209748931624,2.6785422008547015,1.9654615384615386,0.229036858974359,4.949610042735043
330.0,84100.0,134000.0,37200.0,27100.0,0.22085135678146856,0.3518915791761806,0.09768930406980535,0.07116613280354099,1.7905731965811966,2.6750793504273513,2.668933811965813,1.9624135384615389,0.22361702564102567,4.851650598290599
335.0,82600.0,133000.0,34900.0,24000.0,0.2201988215147918,0.35455742447296984,0.09303800085794472,0.06398028712294193,1.7881657222222225,2.651626972222223,2.658058722222223,1.9593360000000002,0.2179388333333334,4.757716111111112
340.0,81100.0,131000.0,32400.0,20500.0,0.21942692004079611,0.3544380582656509,0.08766254265501595,0.05546549766752552,1.785584683760684,2.6314739145299155,2.6461336068376076,1.9562363076923084,0.21206687179487185,4.667800341880342
345.0,79600.0,130000.0,29900.0,16400.0,0.2185356523594815,0.35690495988357523,0.08208814077322232,0.04502493340069719,1.7828546025641026,2.6143537371794876,2.633375141025642,1.9531218461538464,0.2060657307692308,4.581897051282052
350.0,78100.0,128000.0,27100.0,11100.0,0.21752501847084793,0.3565070725258455,0.07547923176133135,0.030915847695600667,1.78,2.6,2.62,1.95,0.2,4.499999999999999
360.0,75200.0,125000.0,20900.0,0.0,0.21543213096918956,0.3580986219567645,0.059874089591171034,0.0,1.774015316239316,2.5785260854700858,2.592266393162393,1.9437636923076922,0.1879331282051282,4.348199658119658
370.0,72300.0,123000.0,12500.0,0.0,0.2128776941325646,0.36215707300560784,0.036804580590000795,0.0,1.7678268034188034,2.56492064957265,2.5646661880341886,1.9375864615384617,0.17638297435897438,4.212349401709401
380.0,69500.0,120000.0,0.0,0.0,0.21016410235284777,0.3628732702495214,0.0,0.0,1.7616306324786326,2.557052170940171,2.538932786324787,1.9315273846153849,0.16586625641025643,4.092399316239317
390.0,66700.0,117000.0,0.0,0.0,0.2070048767324737,0.3631120026641592,0.0,0.0,1.7556229743589742,2.552789128205128,2.5167995897435897,1.925645538461538,0.15689969230769227,3.988299487179486
400.0,64000.0,115000.0,0.0,0.0,0.203718327157626,0.36605636911135925,0.0,0.0,1.75,2.55,2.5,1.92,0.15,3.9
410.0,61200.0,112000.0,0.0,0.0,0.19967579160309187,0.3654197493389917,0.0,0.0,1.7449217094017095,2.5468447863247863,2.4896540170940176,1.9146707692307694,0.14548717948717949,3.826700854700855
420.0,58500.0,110000.0,0.0,0.0,0.19552184758839342,0.36764791854227824,0.0,0.0,1.740403418803419,2.542649572649572,2.4844280341880345,1.9098215384615385,0.14289435897435898,3.7646017094017097
430.0,55700.0,107000.0,0.0,0.0,0.19059600209969926,0.36613594658290516,0.0,0.0,1.7364242735042734,2.5370319658119658,2.482375042735043,1.9056369230769228,0.14155794871794872,3.709152136752137
440.0,53000.0,105000.0,0.0,0.0,0.18557466364514996,0.36764791854227824,0.0,0.0,1.7329634188034189,2.529609572649573,2.4815480341880347,1.9023015384615383,0.140814358974359,3.6558017094017097
450.0,50200.0,103000.0,0.0,0.0,0.17976550822229578,0.36884158061546746,0.0,0.0,1.73,2.52,2.4800000000000004,1.9,0.14,3.6
460.0,47500.0,101000.0,0.0,0.0,0.17387677532789567,0.36971693280247286,0.0,0.0,1.7274978461538464,2.5080147692307695,2.4762375384615387,1.8988332307692306,0.1385981538461539,3.5385969230769234
470.0,44600.0,98400.0,0.0,0.0,0.16681029585461551,0.3680298904056988,0.0,0.0,1.7253595213675212,2.49424105982906,2.4705816752136758,1.8985673846153848,0.13667958974358976,3.474043760683761
480.0,41700.0,96300.0,0.0,0.0,0.15928226704636889,0.3678389044739885,0.0,0.0,1.7234722735042731,2.479459965811966,2.463807042735043,1.898884923076923,0.13446194871794873,3.410192136752137
490.0,38800.0,94300.0,0.0,0.0,0.15129268890315573,0.3677036227723604,0.0,0.0,1.7217233504273504,2.4644525811965816,2.456688273504274,1.8994683076923078,0.13216287179487185,3.3508936752136758
500.0,35700.0,92200.0,0.0,0.0,0.1420457867095166,0.36685214382681874,0.0,0.0,1.7199999999999995,2.4500000000000006,2.4500000000000006,1.9000000000000001,0.13,3.3000000000000003
510.0,32400.0,90200.0,0.0,0.0,0.13149381398252394,0.3660722846056685,0.0,0.0,1.7182101025641023,2.4367254871794874,2.4443596410256414,1.9002198461538458,0.1281472307692308,3.2604620512820506
520.0,29000.0,88300.0,0.0,0.0,0.1200028270912891,0.3653879183503733,0.0,0.0,1.7163440683760682,2.4246209914529917,2.439755760683761,1.9000972307692308,0.1266034871794872,3.2316280341880335
530.0,25200.0,86400.0,0.0,0.0,0.10628367099676772,0.3644011577032036,0.0,0.0,1.71441294017094,2.4135206324786327,2.4360197094017098,1.899658923076923,0.12532394871794872,3.2119454700854697
540.0,20900.0,84500.0,0.0,0.0,0.08981113438675654,0.3631120026641592,0.0,0.0,1.71242776068376,2.4032585299145297,2.4329828376068376,1.898931692307692,0.12426379487179484,3.1998618803418797
550.0,15700.0,82600.0,0.0,0.0,0.06871514667992581,0.3615204532332402,0.0,0.0,1.7103995726495722,2.3936688034188034,2.430476495726496,1.8979423076923072,0.12337820512820513,3.1938247863247855
570.0,0.0,79000.0,0.0,0.0,0.0,0.35833735437140235,0.0,0.0,1.706258341880342,2.375842957264958,2.426380803418804,1.8952841538461536,0.12195143589743589,3.1936801709401714
590.0,0.0,75400.0,0.0,0.0,0.0,0.3540083399193028,0.0,0.0,1.7020775897435898,2.3587160512820513,2.4223834358974363,1.8918986153846151,0.12068507692307691,3.1990917948717947
610.0,0.0,71900.0,0.0,0.0,0.0,0.34901883245337184,0.0,0.0,1.6979433333333334,2.3409933333333335,2.4171733333333334,1.888,0.11922999999999999,3.197966666666667
630.0,0.0,68500.0,0.0,0.0,0.0,0.34341657845653717,0.0,0.0,1.69388811965812,2.3221227350427354,2.410316581196581,1.8838061538461537,0.11745410256410255,3.18572905982906
650.0,0.0,65100.0,0.0,0.0,0.0,0.33673207084667756,0.0,0.0,1.689891025641026,2.3022948717948717,2.40225641025641,1.8795384615384616,0.11544230769230769,3.1653205128205135
670.0,0.0,61700.0,0.0,0.0,0.0,0.3289653096237931,0.0,0.0,1.6859288034188036,2.2817326495726493,2.393474188034188,1.8754184615384617,0.11328897435897436,3.140009401709402
690.0,0.0,58400.0,0.0,0.0,0.0,0.3206653793415507,0.0,0.0,1.681978205128205,2.2606589743589742,2.3844512820512818,1.8716676923076925,0.11108846153846154,3.1130641025641026
710.0,0.0,55100.0,0.0,0.0,0.0,0.31131502643490183,0.0,0.0,1.678016564102564,2.239301179487179,2.3756570256410257,1.8685001538461539,0.10893276923076922,3.087671282051282
718.0,0.0,53700.0,0.0,0.0,0.0,0.3068236739408486,0.0,0.0,1.6764260213333333,2.2307468213333337,2.3722612053333334,1.8674147680000002,0.10809438400000002,3.0783417066666674
724.0,0.0,52700.0,0.0,0.0,0.0,0.30362625113413244,0.0,0.0,1.6752310963418802,2.224352080957265,2.3697561228034187,1.8666616221538463,0.10747378543589743,3.0716282201709406
740.0,0.0,50000.0,0.0,0.0,0.0,0.29443664472000636,0.0,0.0,1.6720371965811966,2.2074833504273506,2.3632298119658124,1.8648775384615386,0.10584902564102565,3.054770598290599
753.0,0.0,47800.0,0.0,0.0,0.0,0.28642637643419133,0.0,0.0,1.669435470136752,2.194094173982906,2.358065559521367,1.8636296364615386,0.10455603297435896,3.0420133160683758
758.0,0.0,47000.0,0.0,0.0,0.0,0.28350270012959317,0.0,0.0,1.6684335071452991,2.189047845606838,2.3561062049914527,1.8631888726153847,0.10406400041025642,3.0372892895726498
763.0,0.0,46100.0,0.0,0.0,0.0,0.2799081857398627,0.0,0.0,1.6674309338974358,2.1840693685128207,2.3541594863589745,1.8627665241538465,0.10357444476923078,3.032651057948718
