Wavelength_nm,Reflectance,Abs_FTO,Abs_ETL,Abs_PEROVSKITE,Abs_HTL
305.0,0.08469861391708107,0.5106200015703758,0.03857376251650019,0.36610761917676926,2.391173157518539e-09
310.0,0.07922630805273498,0.49300863554086954,0.039289789655037266,0.3884752629456926,3.2075112463425483e-09
315.0,0.07681989175779112,0.47149135261994574,0.039801404332764745,0.41188734616843786,4.289521598342115e-09
320.0,0.07777057623932014,0.4459954412444622,0.04016940495619403,0.4360645714590498,5.082225377627417e-09
325.0,0.08158948423652376,0.4169693508900798,0.04033236300512244,0.4611087936981466,6.769395798581581e-09
330.0,0.08773942063583773,0.3836567624065038,0.04029619894023534,0.4883076070757926,9.020127083530723e-09
335.0,0.09553835297312065,0.34619352447132534,0.04018416996529017,0.5180839395824134,1.067539237357803e-08
340.0,0.10401321595972078,0.3023773980681457,0.039888480704867946,0.5537208877174659,1.4343193712655951e-08
345.0,0.11262582911596168,0.2488852824987191,0.03981743755221967,0.5986714296267261,1.7265397775041136e-08
350.0,0.12109258753177535,0.17554386425105528,0.03995152838529148,0.6634119902396278,2.400796304513592e-08
360.0,0.13725297335784084,4.440892098500626e-16,0.0381728798672174,0.824574095195889,4.1593520779378216e-08
370.0,0.14312612998580462,-2.220446049250313e-16,0.022975218917732354,0.8338985865100363,5.1804256270920465e-08
380.0,0.1400517889741481,-4.440892098500626e-16,3.3306690738754696e-16,0.8599481181936072,7.408927867212116e-08
390.0,0.13833973282508608,3.3306690738754696e-16,-4.440892098500626e-16,0.8616601378162891,1.0265324053663805e-07
400.0,0.13588739636748667,2.220446049250313e-16,-0.0,0.8641124437337377,1.2598262232386324e-07
410.0,0.13268906997313987,-3.3306690738754696e-16,-0.0,0.8673107070842802,1.7385040426892308e-07
420.0,0.1272930179457509,-0.0,1.1102230246251565e-16,0.8727067054193949,2.129556101475087e-07
430.0,0.11989497971147686,1.1102230246251565e-16,-2.220446049250313e-16,0.8801046323360685,2.9393170507783886e-07
440.0,0.11090083952819539,-2.220446049250313e-16,3.3306690738754696e-16,0.8890986765277066,3.6025727865126404e-07
450.0,0.1014485393613478,7.771561172376096e-16,-0.0,0.898550857114348,4.4057910024369006e-07
460.0,0.09259875359287667,-0.0,4.440892098500626e-16,0.9074004931287453,5.391368772512141e-07
470.0,0.08470118395537582,-2.220446049250313e-16,-4.440892098500626e-16,0.915297809688494,7.046784592950046e-07
